Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1,Chun-Hsiu Chen,32,RAK,Fgn,,97,386,338,67,119,15,2,7,46,8,6,43,55,0.352,0.425,0.47,0.895,159,6,2,0,3,1
2,Chieh Hsien Chen,27,UPR,Fgn,,104,449,394,69,128,11,7,3,36,22,8,42,40,0.325,0.399,0.411,0.81,162,5,7,5,1,2
3,Jin-De Jang,28,FUB,Fgn,,71,250,222,27,72,14,0,2,35,0,1,20,27,0.324,0.384,0.414,0.798,92,2,4,0,4,3
4,Kuo Lin Kao,28,FUB,Fgn,,91,349,309,52,100,19,2,8,35,0,0,34,64,0.324,0.393,0.476,0.869,147,6,2,3,1,1
5,Wei Chen Wang,29,BTH,Fgn,,113,532,492,74,159,10,1,1,34,21,6,33,56,0.323,0.368,0.354,0.722,174,6,3,2,2,0
6,Chien Fu Liao,22,RAK,Fgn,,76,280,237,39,76,14,1,8,47,1,0,31,34,0.321,0.4,0.49,0.89,116,2,5,0,7,1
7,Yu Hsien Chu*,29,RAK,Fgn,,98,403,366,54,114,12,1,22,81,2,2,24,71,0.312,0.367,0.53,0.897,194,8,10,0,3,0
8,Tian Shin Kuo,21,WEI,Fgn,,112,441,406,46,125,10,3,5,36,22,10,24,51,0.308,0.345,0.384,0.729,156,7,2,3,6,1
9,Ching Kai Lin,20,UPR,Fgn,,116,477,445,70,135,33,3,3,56,23,7,15,55,0.303,0.33,0.411,0.741,183,12,5,7,5,0
10,An Ko Lin*,24,UPR,Fgn,,114,454,387,70,117,14,2,16,67,17,6,50,75,0.302,0.395,0.473,0.868,183,5,12,1,4,4
11,Hung Yu Lin,35,RAK,Fgn,,107,425,386,60,114,34,1,14,59,1,0,27,62,0.295,0.354,0.497,0.851,192,15,9,1,2,2
12,Yung Wei Kuo,33,RAK,Fgn,,68,234,209,30,61,9,2,0,25,3,4,13,17,0.292,0.335,0.354,0.689,74,4,1,10,1,0
13,Chi Hung Hsu,28,BTH,Fgn,,120,522,449,64,130,38,0,14,68,10,3,53,94,0.29,0.368,0.468,0.835,210,9,7,5,8,0
14,Chin Cheng,22,RAK,Fgn,,50,156,136,13,39,3,0,2,26,8,5,7,13,0.287,0.333,0.353,0.686,48,2,3,9,1,0
15,Chia Jung Liang,26,RAK,Fgn,,96,324,289,44,83,19,0,4,31,1,0,28,48,0.287,0.362,0.395,0.757,114,12,6,1,0,0
16,Yi Chuan Lin,35,FUB,Fgn,,109,424,388,39,111,29,0,11,52,1,1,31,66,0.286,0.335,0.446,0.781,173,12,0,0,5,4
17,Rosell Herrera,28,WEI,Fgn,,87,337,299,28,85,13,1,6,37,0,0,33,66,0.284,0.365,0.395,0.76,118,11,5,0,0,0
18,Li Lin,25,RAK,Fgn,,98,407,364,72,101,22,6,7,47,27,6,33,89,0.278,0.341,0.429,0.769,156,11,3,5,2,2
19,Chieh Sen Ma,19,RAK,Fgn,,67,214,195,32,54,8,0,0,13,4,4,12,31,0.277,0.329,0.318,0.647,62,2,3,4,0,0
20,Tzu Hao Chen*,25,BTH,Fgn,,114,465,388,56,107,15,5,14,68,3,5,59,60,0.276,0.388,0.449,0.836,174,8,14,1,3,1
